x,y,key,points,lastAttacked,prevFarm,prevScout,template,fullReturns,totalFarm,totalAttacks,wall,dist,order,close
488,481,488481,0,2018-05-19 21:56:12,0,0,ssTemp,0,0,0,0,0,0,0
485,481,485481,0,2018-05-19 21:56:22,0,0,ssTemp,0,0,0,0,0,0,0
491,481,491481,0,2018-05-19 21:56:25,0,0,ssTemp,0,0,0,0,0,0,0
489,480,489480,0,2018-05-19 21:56:27,0,0,ssTemp,0,0,0,0,0,0,0
490,482,490482,0,2018-05-19 21:56:29,0,0,ssTemp,0,0,0,0,0,0,0
491,484,491484,0,2018-05-19 21:56:32,0,0,ssTemp,0,0,0,0,0,0,0
